Education Sex Married Experience Union Wage Region Ethnicity
10 F Yes 27 No 9 N W
12 F Yes 20 No 5.5 N W
12 M No 4 No 3.8 N W
12 M Yes 29 No 10.5 N W
12 F Yes 40 Yes 15 N W
16 M Yes 27 No 9 N W
12 M Yes 5 Yes 9.57 N W
14 F No 22 No 15 N W
8 F Yes 42 No 11 N W
12 M Yes 14 No 5 N W
17 F Yes 18 No 24.98 N H
17 F No 3 No 20.4 N W
14 F No 4 Yes 25 N H
14 F No 14 No 13.98 N W
12 F Yes 35 No 3.5 N W
14 F No 0 No 5 N H
16 F Yes 7 Yes 10 N H
16 F Yes 26 Yes 15 N B
13 F No 3 No 5.83 N B
13 F No 16 No 9.1 N H
17 M Yes 32 No 11.25 N B
12 F Yes 25 Yes 13 N B
14 M No 15 Yes 8 N W
12 M Yes 38 No 4.28 N W
16 F Yes 17 No 7.88 N B
12 M No 7 No 6.94 N W
17 M No 5 No 24.98 N W
14 F Yes 22 No 10 N W
14 F Yes 21 No 13.75 N W
13 M Yes 2 No 5.62 N H
14 F Yes 16 No 14.67 N B
16 F Yes 18 No 24.98 N W
12 F Yes 14 No 12 N W
18 F Yes 12 No 15 N W
16 F No 3 No 5.77 N W
17 M Yes 13 No 12.65 N W
16 M No 42 No 11.71 N W
12 F Yes 8 No 13 N W
15 M Yes 6 No 12.5 N W
16 F Yes 22 No 22.5 N W
16 M No 3 No 11.25 N B
16 F Yes 33 No 15.38 N W
13 M No 8 Yes 7.7 N W
12 F Yes 26 No 11.84 N W
14 F Yes 0 No 5 N W
12 F Yes 28 No 6.5 N W
8 F Yes 33 Yes 9 N W
12 F No 0 No 3.35 N W
12 M Yes 7 No 4.5 N W
14 M Yes 12 No 10.53 N W
9 F Yes 47 Yes 3.5 N W
16 F Yes 12 No 15 N W
12 M No 25 No 8.5 N W
12 M Yes 44 No 9.17 N W
9 F No 33 Yes 9.6 N W
8 M Yes 22 No 6.88 N H
18 M Yes 14 No 13.95 N W
14 F No 22 No 10 N B
12 M No 41 No 3.75 N W
12 M No 8 No 8 N W
12 M Yes 43 No 11.67 N W
8 M No 29 No 8.89 N B
12 F No 6 Yes 4 N B
12 M No 21 No 5.5 N B
16 F No 3 No 3.35 N B
12 M Yes 40 No 10.81 N W
12 F Yes 5 No 7 N W
13 F Yes 34 Yes 10 N W
16 M Yes 10 No 5.4 N W
12 M No 10 No 7.5 N W
12 F Yes 41 Yes 11.25 N W
10 M Yes 25 Yes 10 N W
13 F No 0 No 4 N W
18 F Yes 14 Yes 13.51 N W
12 F No 22 No 6.75 N W
14 M Yes 32 No 14.29 N W
15 M Yes 9 No 9.75 N W
12 M No 0 No 3.35 N W
8 M No 49 No 3.4 N W
14 M Yes 32 No 5.62 N W
12 F Yes 7 Yes 7 N W
16 M Yes 10 No 10 N W
10 M No 44 Yes 6.1 N W
12 M Yes 27 No 4.17 N W
12 M Yes 16 No 4.8 N W
12 F Yes 3 No 5.75 N W
12 F Yes 8 No 4.75 N W
17 F Yes 7 Yes 9.37 N W
12 M No 8 No 5.25 N W
9 M Yes 42 No 4.95 N W
16 M Yes 11 No 19.38 N W
12 F Yes 23 No 19.98 N W
12 F No 4 No 4 N W
12 M No 0 No 5 N W
14 F Yes 25 No 10.58 N W
12 F No 22 Yes 10 N B
14 M No 15 No 7.38 N H
15 F No 10 No 12.5 N W
16 M No 20 No 4 N W
12 M Yes 24 No 15.03 N W
12 F Yes 12 No 16 S W
12 M No 12 No 3.56 S H
12 F No 16 No 4.5 S H
12 M No 4 No 4.55 S H
12 M Yes 43 No 3.6 S H
12 M Yes 14 No 8 S W
12 M No 10 No 4.75 S W
12 F Yes 2 No 6.73 S W
12 F Yes 28 No 11.11 S W
7 M Yes 15 No 6 S W
12 F Yes 20 No 10 S W
12 M Yes 30 No 11.25 S H
12 M Yes 9 No 3.95 S W
16 F Yes 13 No 17.5 S B
13 M No 1 No 3.55 S W
16 F No 8 No 6 S W
14 F Yes 15 No 22 S W
12 M No 6 No 6.25 S W
7 F Yes 14 No 4.5 S H
13 M No 28 No 10.32 S W
14 F Yes 10 No 12.2 S W
17 F No 14 No 18.16 S W
16 F Yes 10 No 15 S W
13 M Yes 10 No 8.75 S W
14 F Yes 44 No 19.98 S W
16 M No 10 Yes 6.67 N W
14 F Yes 22 Yes 9.63 N W
11 F Yes 18 Yes 5.5 N W
12 M No 9 No 8 N W
18 M Yes 19 No 20 N W
17 M Yes 14 No 9.5 N W
16 M No 6 Yes 11.79 N W
16 M No 17 No 13.89 N W
11 M Yes 24 No 5.5 N W
11 M No 12 No 7 N W
12 M Yes 38 No 9.65 N W
15 M No 33 No 10.61 N W
14 M Yes 10 No 12 N W
14 M Yes 14 No 8.56 N W
14 F No 16 No 16.14 N W
11 F No 11 No 3.75 N W
16 M Yes 6 No 9 N B
12 M Yes 33 No 13.12 N B
16 F No 10 No 13.2 N W
12 F No 19 No 9.25 N W
12 F No 4 No 5 N H
17 M No 3 Yes 6 N W
12 M Yes 32 No 7 N W
8 F Yes 19 No 4.7 N W
16 M Yes 22 No 7.5 N W
18 F Yes 33 No 7 N W
18 F Yes 19 No 11.22 N W
18 F Yes 3 No 5.71 N W
12 F Yes 12 No 5.5 N W
12 F Yes 16 No 9 N W
12 M Yes 4 No 4.13 N W
12 F Yes 11 Yes 10 N W
12 F Yes 17 No 7.5 N W
11 F No 16 No 3.65 N W
12 F Yes 18 No 8.89 N W
18 F Yes 15 No 18 N W
14 F No 0 No 3.35 N B
16 F No 8 No 13.45 N B
16 F Yes 17 No 22.5 N W
18 F No 13 No 19 N W
12 M Yes 18 No 8.93 N W
11 M Yes 16 No 7 N B
14 M No 24 No 4.17 N W
12 F Yes 23 No 9.83 N W
12 F No 1 No 6.67 N W
12 M Yes 10 Yes 7 N W
12 M Yes 42 No 3.64 N W
