"Education" "Married" "Experience" "Union" "Wage" "sex" "ethnicity" "Region"
"1" 10 "Yes" 27 "No" 9 "M" "W" "North"
"2" 12 "Yes" 20 "No" 5.5 "M" "W" "North"
"3" 12 "No" 4 "No" 3.8 "F" "W" "North"
"4" 12 "Yes" 29 "No" 10.5 "F" "W" "North"
"5" 12 "Yes" 40 "Yes" 15 "M" "W" "North"
"6" 16 "Yes" 27 "No" 9 "F" "W" "North"
"7" 12 "Yes" 5 "Yes" 9.57 "F" "W" "North"
"8" 14 "No" 22 "No" 15 "M" "W" "North"
"9" 8 "Yes" 42 "No" 11 "M" "W" "North"
"10" 12 "Yes" 14 "No" 5 "F" "W" "North"
"11" 17 "Yes" 18 "No" 24.98 "M" "H" "North"
"12" 17 "No" 3 "No" 20.4 "M" "W" "North"
"13" 14 "No" 4 "Yes" 25 "M" "H" "North"
"14" 14 "No" 14 "No" 13.98 "M" "W" "North"
"15" 12 "Yes" 35 "No" 3.5 "M" "W" "North"
"16" 14 "No" 0 "No" 5 "M" "H" "North"
"17" 16 "Yes" 7 "Yes" 10 "M" "H" "North"
"18" 16 "Yes" 26 "Yes" 15 "M" "B" "North"
"19" 13 "No" 3 "No" 5.83 "M" "B" "North"
"20" 13 "No" 16 "No" 9.1 "M" "H" "North"
"21" 17 "Yes" 32 "No" 11.25 "F" "B" "North"
"22" 12 "Yes" 25 "Yes" 13 "M" "B" "North"
"23" 14 "No" 15 "Yes" 8 "F" "W" "North"
"24" 12 "Yes" 38 "No" 4.28 "F" "W" "North"
"25" 16 "Yes" 17 "No" 7.88 "M" "B" "North"
"26" 12 "No" 7 "No" 6.94 "F" "W" "North"
"27" 17 "No" 5 "No" 24.98 "F" "W" "North"
"28" 14 "Yes" 22 "No" 10 "M" "W" "North"
"29" 14 "Yes" 21 "No" 13.75 "M" "W" "North"
"30" 13 "Yes" 2 "No" 5.62 "F" "H" "North"
"31" 14 "Yes" 16 "No" 14.67 "M" "B" "North"
"32" 16 "Yes" 18 "No" 24.98 "M" "W" "North"
"33" 12 "Yes" 14 "No" 12 "M" "W" "North"
"34" 18 "Yes" 12 "No" 15 "M" "W" "North"
"35" 16 "No" 3 "No" 5.77 "M" "W" "North"
"36" 17 "Yes" 13 "No" 12.65 "F" "W" "North"
"37" 16 "No" 42 "No" 11.71 "F" "W" "North"
"38" 12 "Yes" 8 "No" 13 "M" "W" "North"
"39" 15 "Yes" 6 "No" 12.5 "F" "W" "North"
"40" 16 "Yes" 22 "No" 22.5 "M" "W" "North"
"41" 16 "No" 3 "No" 11.25 "F" "B" "North"
"42" 16 "Yes" 33 "No" 15.38 "M" "W" "North"
"43" 13 "No" 8 "Yes" 7.7 "F" "W" "North"
"44" 12 "Yes" 26 "No" 11.84 "M" "W" "North"
"45" 14 "Yes" 0 "No" 5 "M" "W" "North"
"46" 12 "Yes" 28 "No" 6.5 "M" "W" "North"
"47" 8 "Yes" 33 "Yes" 9 "M" "W" "North"
"48" 12 "No" 0 "No" 3.35 "M" "W" "North"
"49" 12 "Yes" 7 "No" 4.5 "F" "W" "North"
"50" 14 "Yes" 12 "No" 10.53 "F" "W" "North"
"51" 9 "Yes" 47 "Yes" 3.5 "M" "W" "North"
"52" 16 "Yes" 12 "No" 15 "M" "W" "North"
"53" 12 "No" 25 "No" 8.5 "F" "W" "North"
"54" 12 "Yes" 44 "No" 9.17 "F" "W" "North"
"55" 9 "No" 33 "Yes" 9.6 "M" "W" "North"
"56" 8 "Yes" 22 "No" 6.88 "F" "H" "North"
"57" 18 "Yes" 14 "No" 13.95 "F" "W" "North"
"58" 14 "No" 22 "No" 10 "M" "B" "North"
"59" 12 "No" 41 "No" 3.75 "F" "W" "North"
"60" 12 "No" 8 "No" 8 "F" "W" "North"
"61" 12 "Yes" 43 "No" 11.67 "F" "W" "North"
"62" 8 "No" 29 "No" 8.89 "F" "B" "North"
"63" 12 "No" 6 "Yes" 4 "M" "B" "North"
"64" 12 "No" 21 "No" 5.5 "F" "B" "North"
"65" 16 "No" 3 "No" 3.35 "M" "B" "North"
"66" 12 "Yes" 40 "No" 10.81 "F" "W" "North"
"67" 12 "Yes" 5 "No" 7 "M" "W" "North"
"68" 13 "Yes" 34 "Yes" 10 "M" "W" "North"
"69" 16 "Yes" 10 "No" 5.4 "F" "W" "North"
"70" 12 "No" 10 "No" 7.5 "F" "W" "North"
"71" 12 "Yes" 41 "Yes" 11.25 "M" "W" "North"
"72" 10 "Yes" 25 "Yes" 10 "F" "W" "North"
"73" 13 "No" 0 "No" 4 "M" "W" "North"
"74" 18 "Yes" 14 "Yes" 13.51 "M" "W" "North"
"75" 12 "No" 22 "No" 6.75 "M" "W" "North"
"76" 14 "Yes" 32 "No" 14.29 "F" "W" "North"
"77" 15 "Yes" 9 "No" 9.75 "F" "W" "North"
"78" 12 "No" 0 "No" 3.35 "F" "W" "North"
"79" 8 "No" 49 "No" 3.4 "F" "W" "North"
"80" 14 "Yes" 32 "No" 5.62 "F" "W" "North"
"81" 12 "Yes" 7 "Yes" 7 "M" "W" "North"
"82" 16 "Yes" 10 "No" 10 "F" "W" "North"
"83" 10 "No" 44 "Yes" 6.1 "F" "W" "North"
"84" 12 "Yes" 27 "No" 4.17 "F" "W" "North"
"85" 12 "Yes" 16 "No" 4.8 "F" "W" "North"
"86" 12 "Yes" 3 "No" 5.75 "M" "W" "North"
"87" 12 "Yes" 8 "No" 4.75 "M" "W" "North"
"88" 17 "Yes" 7 "Yes" 9.37 "M" "W" "North"
"89" 12 "No" 8 "No" 5.25 "F" "W" "North"
"90" 9 "Yes" 42 "No" 4.95 "F" "W" "North"
"91" 16 "Yes" 11 "No" 19.38 "F" "W" "North"
"92" 12 "Yes" 23 "No" 19.98 "M" "W" "North"
"93" 12 "No" 4 "No" 4 "M" "W" "North"
"94" 12 "No" 0 "No" 5 "F" "W" "North"
"95" 14 "Yes" 25 "No" 10.58 "M" "W" "North"
"96" 12 "No" 22 "Yes" 10 "M" "B" "North"
"97" 14 "No" 15 "No" 7.38 "F" "H" "North"
"98" 15 "No" 10 "No" 12.5 "M" "W" "North"
"99" 16 "No" 20 "No" 4 "F" "W" "North"
